attempts,contacts,global_seed,index,params.object.euler,params.object.pos,params.spoon1.euler,params.spoon1.pos,scene,scene_seed,scene_type
1,11,0,29,0 0 0.69026768,0.62896368 -0.12236212 0.22,1.5708 1.2479609 1.5708,0.61967681 0.020553042 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_029.xml,2320500417,wire_spoon
1,11,0,30,0 0 -0.61627087,0.6668484 -0.16976153 0.22,1.5708 1.8932494 1.5708,0.50178237 0.14987504 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_030.xml,2523796087,wire_spoon
1,11,0,31,0 0 -0.54965161,0.55205718 -0.027029034 0.22,1.5708 1.9170888 1.5708,0.63870062 0.1049049 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_031.xml,1911213317,wire_spoon
1,11,0,32,0 0 -0.55328187,0.68411601 -0.081581226 0.22,1.5708 1.361459 1.5708,0.56010689 0.16877965 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_032.xml,1653137829,wire_spoon
1,11,0,33,0 0 -0.56946026,0.67682991 -0.053844656 0.22,1.5708 1.7935557 1.5708,0.67101132 0.1551449 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_033.xml,2472402290,wire_spoon
1,11,0,34,0 0 -0.25899693,0.64384946 -0.1060057 0.22,1.5708 1.1788564 1.5708,0.60772489 0.013438638 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_034.xml,1246955724,wire_spoon
1,11,0,35,0 0 0.47868525,0.7158567 -0.18803786 0.22,1.5708 1.854134 1.5708,0.61743262 0.08495023 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_035.xml,801997237,wire_spoon
1,11,0,36,0 0 -0.42779495,0.66466178 -0.18146413 0.22,1.5708 1.3593222 1.5708,0.61510295 0.044619599 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_036.xml,2820330615,wire_spoon
1,11,0,37,0 0 -0.66554784,0.55886304 -0.15624882 0.22,1.5708 1.2617551 1.5708,0.65960366 0.034519136 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_037.xml,2046685052,wire_spoon
1,11,0,38,0 0 0.62443425,0.61538529 -0.044839849 0.22,1.5708 1.8246018 1.5708,0.59134612 0.15175764 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_038.xml,3253884088,wire_spoon
1,11,0,39,0 0 0.70531434,0.6277279 -0.092718941 0.22,1.5708 1.8842467 1.5708,0.53047719 0.17499309 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_039.xml,3765700075,wire_spoon
1,11,0,40,0 0 -0.32378002,0.62358416 -0.13768331 0.22,1.5708 1.9438426 1.5708,0.53615264 0.15906788 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_040.xml,3965891272,wire_spoon
1,11,0,41,0 0 -0.37262514,0.53465458 -0.046555861 0.22,1.5708 1.8539533 1.5708,0.56668103 0.18135904 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_041.xml,3618339112,wire_spoon
1,11,0,42,0 0 -0.36555204,0.69952292 -0.08696572 0.22,1.5708 1.7852639 1.5708,0.67150553 0.1619023 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_042.xml,3485918757,wire_spoon
1,11,0,43,0 0 0.74322253,0.58079527 -0.12071852 0.22,1.5708 1.880788 1.5708,0.65915049 0.0060443417 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_043.xml,3648514451,wire_spoon
1,11,0,44,0 0 -0.72438014,0.66968218 -0.10267711 0.22,1.5708 1.8277375 1.5708,0.50194026 0.11347127 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_044.xml,4079209076,wire_spoon
1,11,0,45,0 0 0.33205385,0.574485 -0.11755684 0.22,1.5708 1.8192711 1.5708,0.60570724 0.12486411 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_045.xml,2489771122,wire_spoon
1,11,0,46,0 0 0.2944691,0.63846866 -0.0049631 0.22,1.5708 1.2912933 1.5708,0.63200274 0.093170594 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_046.xml,1935153793,wire_spoon
1,11,0,47,0 0 0.54373463,0.56766717 -0.14214861 0.22,1.5708 1.3551116 1.5708,0.63681762 0.098164838 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_047.xml,3407305306,wire_spoon
1,11,0,48,0 0 0.69196848,0.60267064 -0.1372515 0.22,1.5708 1.288025 1.5708,0.5627999 0.11589171 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_048.xml,353789296,wire_spoon
2,11,0,49,0 0 -0.28384523,0.61269025 -0.020919164 0.22,1.5708 1.8994681 1.5708,0.5068674 0.14269238 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_049.xml,2706462215,wire_spoon
1,11,0,50,0 0 0.28475035,0.65632083 -0.10813393 0.22,1.5708 1.3099803 1.5708,0.60238389 0.14262726 0.27,mujoco_scenes/ood_scenes/wire_spoon/wire_spoon_ood_050.xml,3629580546,wire_spoon
